Site	Side	MHS_WQ	MHS_WQ_integer	River_km_Distance_to_mouth	Chl_a
JDS01-0-M	M	II	4	2581	NA
JDS02-0-L	L	II	4	2415	NA
JDS02-0-M	M	II	4	2415	NA
JDS02-0-R	R	II	4	2415	NA
JDS03-0-L	L	II	4	2355	1.50
JDS03-0-M	M	II	4	2355	3.40
JDS03-0-R	R	II	4	2355	5.30
JDS04-0-L	L	II	4	2285	0.60
JDS04-0-M	M	II	4	2285	1.10
JDS04-0-R	R	II	4	2285	0.50
JDS05-0-L	L	II	4	2258	1.10
JDS05-0-M	M	II	4	2258	1.30
JDS05-0-R	R	II	4	2258	1.20
JDS06-0-L	L	III	3	2205	2.80
JDS06-0-M	M	III	3	2205	2.00
JDS06-0-R	R	III	3	2205	2.00
JDS07-0-L	L	II	4	2121	2.60
JDS07-0-M	M	II	4	2121	2.20
JDS07-0-R	R	II	4	2121	2.70
JDS08-0-L	L	II	4	2007	6.50
JDS08-0-M	M	II	4	2007	6.00
JDS08-0-R	R	II	4	2007	6.40
JDS09-0-L	L	II	4	1942	8.70
JDS09-0-M	M	II	4	1942	12.00
JDS09-0-R	R	II	4	1942	8.40
JDS09-4-L	L	II	4	1919	NA
JDS09-4-M	M	II	4	1919	NA
JDS09-4-R	R	II	4	1919	NA
JDS10-0-L	L	II	4	1895	9.50
JDS10-0-M	M	II	4	1895	11.00
JDS10-0-R	R	II	4	1895	11.00
JDS11-0-L	L	II	4	1882	9.50
JDS11-0-M	M	II	4	1882	14.00
JDS11-0-R	R	II	4	1882	8.20
JDS13-0-L	L	II	4	1868	8.30
JDS13-0-M	M	II	4	1868	5.90
JDS13-0-R	R	II	4	1868	6.90
JDS14-0-L	L	II	4	1855	8.60
JDS14-0-M	M	II	4	1855	9.70
JDS14-0-R	R	II	4	1855	6.40
JDS15-0-L	L	II	4	1806	6.60
JDS15-0-M	M	II	4	1806	8.20
JDS15-0-R	R	II	4	1806	10.00
JDS17-0-L	L	II	4	1790	5.10
JDS17-0-M	M	II	4	1790	4.50
JDS17-0-R	R	II	4	1790	7.00
JDS19-0-L	L	II	4	1761	19.00
JDS19-0-M	M	II	4	1761	7.90
JDS19-0-R	R	II	4	1761	7.90
JDS20-0-L	L	II	4	1707	13.00
JDS20-0-M	M	II	4	1707	8.60
JDS20-0-R	R	II	4	1707	4.80
JDS21-0-L	L	II	4	1660	3.20
JDS21-0-M	M	II	4	1660	9.50
JDS21-0-R	R	II	4	1660	4.10
JDS22-0-L	L	III	3	1630	6.20
JDS22-0-M	M	III	3	1630	6.60
JDS22-0-R	R	III	3	1630	4.40
JDS24-0-L	L	II	4	1560	2.20
JDS24-0-M	M	II	4	1560	1.60
JDS24-0-R	R	II	4	1560	0.55
JDS25-0-L	L	II	4	1532	3.90
JDS25-0-M	M	II	4	1532	4.00
JDS25-0-R	R	II	4	1532	1.70
JDS26-0-L	L	II	4	1481	11.00
JDS26-0-M	M	II	4	1481	9.80
JDS26-0-R	R	II	4	1481	3.50
JDS27-0-L	L	II	4	1434	6.40
JDS27-0-M	M	II	4	1434	7.50
JDS27-0-R	R	II	4	1434	5.90
JDS28-0-L	L	IV	2	1384	15.00
JDS28-0-M	M	IV	2	1384	14.00
JDS28-0-R	R	IV	2	1384	14.00
JDS30-0-L	L	III	3	1367	16.00
JDS30-0-M	M	III	3	1367	16.00
JDS30-0-R	R	III	3	1367	16.00
JDS31-0-L	L	II	4	1300	21.00
JDS31-0-M	M	II	4	1300	16.00
JDS31-0-R	R	II	4	1300	17.00
JDS32-0-L	L	V	1	1262	14.00
JDS32-0-M	M	V	1	1262	14.00
JDS32-0-R	R	V	1	1262	15.00
JDS33-0-L	L	II	4	1252	14.00
JDS33-0-M	M	II	4	1252	13.00
JDS33-0-R	R	II	4	1252	9.70
JDS34-0-L	L	III	3	1216	12.00
JDS34-0-M	M	III	3	1216	12.00
JDS34-0-R	R	III	3	1216	13.00
JDS36-0-L	L	II	4	1199	8.90
JDS36-0-M	M	II	4	1199	9.90
JDS36-0-R	R	II	4	1199	9.00
JDS38-0-L	L	II	4	1159	8.20
JDS38-0-M	M	II	4	1159	7.00
JDS38-0-R	R	II	4	1159	4.20
JDS39-0-L	L	III	3	1151	3.80
JDS39-0-M	M	III	3	1151	3.30
JDS39-0-R	R	III	3	1151	2.30
JDS40-0-L	L	III	3	1107	8.10
JDS40-0-M	M	III	3	1107	6.30
JDS40-0-R	R	III	3	1107	1.80
JDS42-0-L	L	IV	2	1095	7.10
JDS42-0-M	M	IV	2	1095	2.80
JDS42-0-R	R	IV	2	1095	2.10
JDS43-0-L	L	II	4	1073	4.20
JDS43-0-M	M	II	4	1073	1.90
JDS43-0-R	R	II	4	1073	1.90
JDS44-0-L	L	II	4	1040	2.60
JDS44-0-M	M	II	4	1040	1.30
JDS44-0-R	R	II	4	1040	1.60
JDS45-0-L	L	III	3	956	3.60
JDS45-0-M	M	III	3	956	5.60
JDS45-0-R	R	III	3	956	4.40
JDS46-0-L	L	IV	2	926	0.54
JDS46-0-M	M	IV	2	926	0.33
JDS46-0-R	R	IV	2	926	0.34
JDS47-0-L	L	II	4	847	0.35
JDS47-0-M	M	II	4	847	0.79
JDS47-0-R	R	II	4	847	0.60
JDS49-0-L	L	II	4	837	0.52
JDS49-0-M	M	II	4	837	0.87
JDS49-0-R	R	II	4	837	0.82
JDS50-0-L	L	II	4	686	0.74
JDS50-0-M	M	II	4	686	3.30
JDS50-0-R	R	II	4	686	1.20
JDS52-0-L	L	II	4	604	1.60
JDS52-0-M	M	II	4	604	3.70
JDS52-0-R	R	II	4	604	0.10
JDS53-0-L	L	II	4	550	6.40
JDS53-0-M	M	II	4	550	4.30
JDS53-0-R	R	II	4	550	0.70
JDS55-0-L	L	I	5	532	5.20
JDS55-0-M	M	I	5	532	4.90
JDS55-0-R	R	I	5	532	0.86
JDS57-0-L	L	I	5	488	3.80
JDS57-0-M	M	I	5	488	3.90
JDS57-0-R	R	I	5	488	2.50
JDS59-0-L	L	II	4	429	4.20
JDS59-0-M	M	II	4	429	3.30
JDS59-0-R	R	II	4	429	1.20
JDS60-0-L	L	II	4	375	7.10
JDS60-0-M	M	II	4	375	5.70
JDS60-0-R	R	II	4	375	1.30
JDS61-0-L	L	III	3	232	6.70
JDS61-0-M	M	III	3	232	5.60
JDS61-0-R	R	III	3	232	4.60
JDS62-0-L	L	II	4	170	4.20
JDS62-0-M	M	II	4	170	4.00
JDS62-0-R	R	II	4	170	3.00
JDS65-0-L	L	II	4	132	3.80
JDS65-0-M	M	II	4	132	4.20
JDS65-0-R	R	II	4	132	4.90
JDS66-0-L	L	III	3	18	5.70
JDS66-0-M	M	III	3	18	4.90
JDS66-0-R	R	III	3	18	5.30
JDS67-0-L	L	II	4	31	2.40
JDS67-0-M	M	II	4	31	2.60
JDS67-0-R	R	II	4	31	2.70
JDS68-0-L	L	II	4	104	2.90
JDS68-0-M	M	II	4	104	3.00
JDS68-0-R	R	II	4	104	3.20
